country,total_co2_kt,co2_pc
China,6024094.308666666,4.550666666666667
United States,5277262.689333334,18.151666666666664
Russia,1667622.332,11.469666666666665
India,1329424.3323333333,1.1206666666666665
Japan,1169219.6576666667,9.224
Germany,812234.001,9.941
Canada,514550.0016666667,15.921
United Kingdom,494140.33366666664,8.161333333333333
South Korea,480242.333,9.924666666666667
Iran,431354.3306666667,5.964333333333333
Italy,403076.665,6.935666666666666
Mexico,402038.66533333337,3.8343333333333334
South Africa,353020.6676666666,7.114333333333334
France,351442.3323333334,5.616333333333333
Indonesia,351237.66733333335,1.5036666666666667
Australia,347398.333,16.88266666666667
Saudi Arabia,347064.0013333333,13.306999999999999
Brazil,342844.9986666667,1.8336666666666666
Ukraine,326259.3343333333,6.705333333333333
Poland,314250.33366666664,8.219
Spain,271600.33266666665,6.297666666666667
Turkey,255158.0,3.630333333333333
Thailand,198761.33333333334,3.022666666666667
Kazakhstan,192725.00100000002,11.85
Netherlands,160947.66533333334,9.952333333333334
Egypt,159271.333,1.944
Malaysia,157564.00033333333,5.941333333333334
Argentina,145810.668,3.7246666666666663
Venezuela,137558.66733333335,5.279666666666667
UAE,124183.99966666667,25.111666666666668
Pakistan,121471.33366666666,0.6913333333333332
Czech Republic,117162.33333333333,11.304
Uzbekistan,115755.66666666667,4.4446666666666665
Vietnam,109587.666,1.2489999999999999
Belgium,106885.0,10.133333333333333
Algeria,103986.99966666667,3.0416666666666665
Iraq,103861.99966666667,3.686
Romania,97046.66666666667,4.516666666666667
Nigeria,95036.66666666667,0.6896666666666668
Greece,84069.33333333333,7.78
Philippines,80229.00033333333,0.9183333333333333
North Korea,66671.0,2.868
Austria,65733.33333333333,7.991666666666666
Colombia,63495.0,1.5283333333333333
Belarus,61735.333333333336,6.3020000000000005
Kuwait,61571.0,23.58533333333333
Chile,59397.666666666664,3.614
Israel,57836.333333333336,8.407
Finland,55536.666666666664,10.583666666666666
Portugal,52954.0,5.132666666666666
Hungary,52928.333333333336,5.2316666666666665
Turkmenistan,50805.0,10.136333333333333
Denmark,50385.333333333336,9.337666666666667
Sweden,49327.333333333336,5.418333333333334
Bulgaria,48583.333333333336,6.223333333333333
Serbia,48378.666666666664,6.548333333333333
Libya,47097.333333333336,8.414
Qatar,46612.0,38.54066666666667
Morocco,43090.333333333336,1.3833333333333333
Switzerland,43011.0,5.749
Syrian Arab Republic,42525.0,2.4193333333333333
Singapore,40052.0,9.166
Oman,39120.0,12.774333333333335
Bangladesh,38882.0,0.26666666666666666
Ireland,38667.333333333336,9.373999999999999
Slovak Republic,38132.666666666664,7.090999999999999
Norway,36263.666666666664,7.711666666666667
Peru,36080.666666666664,1.2770000000000001
Azerbaijan,32661.0,3.916
New Zealand,29892.333333333332,7.266
Ecuador,28948.333333333332,2.063
Cuba,26685.0,2.396666666666667
Tunisia,22941.0,2.193
Bahrain,20921.0,22.069666666666667
Jordan,18504.0,2.987
Angola,18439.0,0.898
Croatia,18219.0,4.176666666666667
Lebanon,18190.0,3.7063333333333333
Dominican Republic,18153.333333333332,1.962
Estonia,17982.333333333332,12.925333333333333
Bosnia,16618.666666666668,4.304
Yemen,16138.0,0.75
Trinidad And Tobago,15726.333333333334,11.335
Slovenia,14772.333333333334,7.316999999999999
Lithuania,14038.666666666666,4.216
Mongolia,13343.666666666666,5.056666666666667
Bolivia,13269.0,1.3813333333333333
Zimbabwe,12707.0,1.0546666666666666
Sri Lanka,12554.333333333334,0.6286666666666666
Myanmar,11888.0,0.242
Sudan,11090.333333333334,0.3433333333333334
Guatemala,10625.333333333334,0.7983333333333333
Moldova,10432.0,3.5953333333333335
Kenya,10413.666666666666,0.2773333333333333
Luxembourg,10062.666666666666,21.559666666666665
Ghana,9075.0,0.3706666666666667
Latvia,8886.0,3.899
Jamaica,8849.333333333334,3.3493333333333335
Georgia,8719.333333333334,2.063
North Macedonia,8702.666666666666,4.274333333333333
Kyrgyz Republic,8349.0,1.6316666666666668
Panama,7107.333333333333,2.075
Cyprus,6943.666666666667,6.83
Ethiopia,6725.666666666667,0.07766666666666668
Honduras,6677.333333333333,0.8573333333333333
Cameroon,6298.666666666667,0.36000000000000004
Costa Rica,6128.666666666667,1.4253333333333333
El Salvador,5912.0,0.9813333333333334
Tanzania,5904.333333333333,0.13399999999999998
Uruguay,5882.666666666667,1.775
Brunei,5780.666666666667,15.894666666666668
Senegal,5699.666666666667,0.48200000000000004
Armenia,5692.0,1.7959999999999998
Gabon,5543.333333333333,3.8516666666666666
Equatorial Guinea,5233.333333333333,5.252
Paraguay,4553.666666666667,0.8260000000000001
Nepal,4548.0,0.17099999999999999
Cambodia,4539.333333333333,0.318
Botswana,4384.0,2.272
Papua New Guinea,4311.333333333333,0.6356666666666667
Republic Of Congo,4287.666666666667,1.1343333333333334
Tajikistan,4235.666666666667,0.613
Lao PDR,4030.0,0.6073333333333333
Nicaragua,3979.3333333333335,0.7186666666666667
Albania,3751.6666666666665,1.2506666666666668
Afghanistan,3182.0,0.12433333333333334
Zambia,3147.0,0.25433333333333336
Benin,3112.6666666666665,0.32866666666666666
Mauritius,2814.3333333333335,2.308
Mozambique,2787.3333333333335,0.12200000000000001
Namibia,2712.4137931034484,1.3475862068965516
Uganda,2524.6666666666665,0.08033333333333334
Democratic Republic Of Congo,2492.0,0.043666666666666666
Bahamas,2444.0,7.123
Malta,2323.0,5.782666666666667
Mali,2070.714285714286,0.12714285714285714
Iceland,2050.6666666666665,6.946333333333333
Mauritania,1969.0,0.6103333333333333
Suriname,1965.0,3.9033333333333333
Madagascar,1957.6666666666667,0.09966666666666667
Montenegro,1942.0,3.155666666666667
Guinea,1938.6666666666667,0.2006666666666667
Haiti,1914.0,0.2036666666666667
Burkina Faso,1786.3333333333333,0.11233333333333334
Guyana,1739.0,2.295666666666667
Togo,1614.3333333333333,0.27299999999999996
Barbados,1427.6666666666667,5.283333333333333
Niger,1089.6666666666667,0.07166666666666667
Fiji,1061.6666666666667,1.2203333333333333
Chad,965.0,0.08533333333333333
South Sudan,940.3333333333334,0.111
Malawi,855.0,0.06433333333333334
Maldives,815.3333333333334,2.216
Liberia,688.0,0.19833333333333333
Rwanda,675.6666666666666,0.07166666666666667
Eswatini,674.0,0.6406666666666666
Eritrea,651.4285714285714,0.2417857142857143
Somalia,612.6666666666666,0.06333333333333334
Sierra Leone,557.0,0.09233333333333334
Belize,544.0,1.9839999999999998
Andorra,487.6666666666667,7.0553333333333335
Lesotho,483.0,0.239
St. Lucia,466.6666666666667,2.816333333333333
Antigua And Barbuda,432.3333333333333,5.358666666666666
Bhutan,404.3333333333333,0.5873333333333334
Djibouti,399.6666666666667,0.48966666666666664
Seychelles,365.6666666666667,4.265666666666666
Gambia,357.0,0.206
Cabo Verde,353.6666666666667,0.6963333333333334
Timor-Leste,351.6666666666667,0.30777777777777776
Burundi,281.6666666666667,0.034333333333333334
Solomon Islands,281.0,0.5746666666666667
Grenada,261.0,2.332666666666667
St. Vincent And The Grenadines,233.66666666666666,2.1206666666666667
St. Kitts And Nevis,225.66666666666666,4.896333333333333
Palau,220.0,11.959642857142857
Guinea-Bissau,218.33333333333334,0.155
Liechtenstein,200.0,5.947
Central African Republic,195.33333333333334,0.049
Samoa,180.66666666666666,0.9426666666666667
Dominica,152.66666666666666,2.2093333333333334
Comoros,140.66666666666666,0.225
Micronesia,138.21428571428572,1.258214285714286
Marshall Islands,127.5,2.4896428571428575
Tonga,115.33333333333333,1.106
Vanuatu,106.66666666666667,0.4736666666666667
Sao Tome And Principe,81.33333333333333,0.478
Nauru,75.33333333333333,7.225333333333333
Kiribati,48.666666666666664,0.4776666666666667
Tuvalu,10.0,0.995
